source,target,weight
wrap in foil paper,wrap in foil paper,2
cut the old chain,install the new chain,2
install the new chain,install the new chain,2
wipe nose,wipe nose,3
put on the shin guard sleeves or football socks,put on the shin guard sleeves or football socks,7
crop the wallpaper,cut out a hole,1
knot the rope,knot the rope,9
add seasoning,load the dish,4
add decoration,add seasoning,3
exit from the area and salute,exit from the area and salute,1
place cushion and backrest,put every parts mentioned together,6
install the insulated shim,install the insulated shim,1
install the insulated shim,use the air pressure gun or hair drier to flatten the wrapper,3
install the new shower head,install the new shower head,4
carve along the outline,carve along the outline,1
apply glue to the wall and wallpaper,dip the glue,5
crop the wallpaper,wipe or polish the wall,6
fit on the fuse,open up the cover,1
transfer and dissolve the solute,transfer the solution and label,3
calibrate the liquid,calibrate the liquid,5
plug cable and wire,plug cable and wire,2
put flower in book,put flower in book,13
cut the raw materials,cut the raw materials,4
remove the old toilet seat,take out the screws,9
screw on the screws,take out the screws,3
cut the bread,prepare the filler,2
cut the bread,fry or grill,1
check the old chain,link the new chain,5
apply a cover on the soil,apply a cover on the soil,1
line up for admission,line up for admission,2
make the hair dry,make the hair dry,3
bake pizza,knead the dough,2
rinse the dish,rinse the dish,1
decorate with fruit,stir the mixture,5
put the weight until the balance is balanced,put the weight until the balance is balanced,1
load the inner tube,load the wheel,4
cone the leaves,tie the zongzi tightly,6
fold the leaves,fold the leaves,3
tie the zongzi tightly,tie the zongzi tightly,1
squat and hold the barbell,squat and hold the barbell,5
clean the window surface,tear off the other side of the sticker,2
comb the hair with a comb,make the hair dry,5
look for leaks,look for leaks,3
paste patch,paste patch,1
add some oil to the pot,add some oil to the pot,3
wash the body wash away,wash the body wash away,4
press book or heat flower,press book or heat flower,5
reinstall the rearview mirror,reinstall the rearview mirror,3
load a new battery,pick up the back cover of the phone with the cymbal,1
fill with some soil,trim the plant carefully,1
install new glass on window lift,remove old glass from window lift,3
glue on window frame,install new glass on window lift,5
glue on window frame,remove old glass from window lift,2
check the breath of the patient,check the foreign matter in the mouse,3
add some ingredients in the coffee,filtrate the coffee beans,4
clean the floor,clean the floor,5
connect the water pipe,install the new wax ring,1
reconnect the electric wire,reconnect the electric wire,1
close the fuel tank cap,open the fuel tank cap,6
cut out a hole,measure and mark the wall,2
pour the egg into the pot,put seasoning in the egg,3
fry eggs,put seasoning in the egg,11
install stand of the seat,install the sofa back,8
install legs of sofa,install stand of the seat,5
install stand of the seat,place cushion and backrest,9
blow the raw sugar,blow the raw sugar,3
install the new filter,install the new filter,3
remove the old memory chip,remove the old memory chip,1
knead the meat,knead the meat,3
clean up and soak,take out the shell,3
fry or roast or braise,prepare and boil water,7
prepare and boil water,take out the shell,2
stick on the label,take out the label,2
apply cleansing milk to the face,shave roughly on the face,4
apply cleansing milk to the face,apply cleansing milk to the face,1
apply cleansing milk to the face,shave carefully on the face,1
do facial care carefully,shave carefully on the face,11
load the tire,load the tire,4
install the new toilet seat,install the new toilet seat,3
apply cleansing milk to the face,apply shaving cream to the face,2
pull out a lock lever at bottom of gun,screw gun head back,1
pull out a lock lever at bottom of gun,"try to press gun head, spray residual old grease",1
check the old chain,install the new chain,2
cut off the electric wire,reinstall the rearview mirror,1
load the wheel,pump up the tire,4
take out the battery,unscrew the screws used to fix the screen,1
fill the solution to the mark,fill the solution to the mark,1
wash the floor,wash the floor,4
put materials into mold,put materials into mold,2
dribble and lay up,dribble and lay up,2
flatten the dough,pour raw materials,1
flatten the dough,stir raw materials,3
brew tea and stir,brew tea and stir,5
install the sofa back,put on sofa cover,2
brew the coffee beans,brew the coffee beans,4
filtrate the coffee beans,filtrate the coffee beans,1
insert the glue needle,trigger and take out the needle head,1
hold the gun end and let the gun head aim at the tag brand,hold the gun end and let the gun head aim at the tag brand,3
install the light shell/housing/support,remove the light shell/housing/support,6
install the light shell/housing/support,install the light shell/housing/support,2
pour some soy beans,run the soy milk maker,7
draw pictures on the materials,put the candle in the lantern,1
open the lid of new container,unscrew gun head,3
roll and rub the earplugs,roll and rub the earplugs,1
insert the earplugs into the ears,insert the earplugs into the ears,1
chase for the frisbee,chase for the frisbee,36
catch the frisbee with mouse,catch the frisbee with mouse,14
remove the intestines and blood vessels,remove the intestines and blood vessels,2
inject to the muscular,inject to the muscular,1
remove the inner tube,unload the wheel,1
decorate the ice cream,stir the mixture,1
put lead into the pen,remove cap,5
insert the pillow into the pillow cover,insert the pillow into the pillow cover,2
put the pillow on the bed,put the pillow on the bed,1
remove the components of the fixed battery,remove the components of the fixed battery,5
add some cleaner to clean and wet the lenses and take out the lenses,add some cleaner to clean and wet the lenses and take out the lenses,1
pick up the back cover of the phone with the cymbal,remove the tape of the fixed battery,1
turn off the balde screw,turn off the balde screw,2
put inner tube back,use sandpaper/metal to polish rubber near leak,1
clean weld line with a hammer,wear a eye protection helmet,1
stick with the tape and wrap,stick with the tape and wrap,4
decorate the wrapped gift,decorate the wrapped gift,5
fix and fasten the upper and lower ropes to car,fix and fasten the upper and lower ropes to car,2
cut the head,remove the intestines and blood vessels,6
cover with some soil,cover with some soil,5
transfer the solution and label,weigh up the solute,1
fry eggs,stir the egg,3
add ingredients into cone,add ingredients into cone,1
disinfect the injecting place,fill the injection head,4
reconnect the electric wire,remove the old rearview mirror,2
open cover,open cover,1
add detergent and make bubble,add detergent and make bubble,4
wipe up the face,wipe up the face,2
fold or bent paper,paint on the paper,5
glue on the back of the rubber,glue on the back of the rubber,3
install fan bracket,install fan tray,7
install fans and lights,install fans and lights,6
heat the pot,rinse the pot,4
knock in the nails,prepare the ground floor,4
remove old glass from window lift,remove surface of the door,1
cut into strips and pieces,cut the wide side,1
fix the candle wick,wait for the candle until concretion,4
prepare meat,prepare meat,3
use the air pressure gun or hair drier to flatten the wrapper,use the air pressure gun or hair drier to flatten the wrapper,3
solder the headset cable to the Bluetooth module,solder the headset cable to the Bluetooth module,1
put on new tape,remove the components of the fixed battery,1
raise the jack up,remove the underprop,4
let the jack down,remove the underprop,7
apply glue to the wall and wallpaper,clean the wall,3
clean the wall,measure and mark the wall,2
clean the wall,clean the wall,1
lift the barbell from the chin over the head,lift the barbell from the chin over the head,9
remove the head,remove the head,1
collect blood,collect blood,2
cut into strips,stir raw materials,1
fry the dough,stir raw materials,1
cut into strips,fry the dough,16
remove the door knob,remove the door knob,4
install the new door knob,remove the bolt and pin board,4
fix the ground nail,lay the cushion evenly,6
link the new chain,take old chain away,1
plunge into thigh,plunge into thigh,1
pull out after a period of time,pull out after a period of time,1
install the new pin board,remove the door knob,3
cut up the garlics,pour some salt to the garlics,8
shake and juice,shake and juice,6
close cans,close cans,1
switch off the power,switch off the power,1
remove inner tube,use sandpaper/metal to polish rubber near leak,2
insert the glue needle,insert the gun head,3
hold the gun end and let the gun head aim at the tag brand,insert the gun head,1
put the candle wick into a vessel,put the candle wick into a vessel,1
wind the junction to fasten the connection,wind the junction to fasten the connection,1
make the hair dry,scratch the hair carefully,6
prepare the soil carefully,prepare the soil carefully,3
add raw materials,take out chocolate,6
crop the wallpaper,loosen the outer cover of a switch or socket,1
crop the wallpaper,stuff the wallpaper into the loose outer cover,2
loosen the outer cover of a switch or socket,stuff the wallpaper into the loose outer cover,1
draw pictures on the materials,fold or bent the paper,5
check the pulse of the patient,do artificial breathing to the patient,4
cut potato into strips,cut potato into strips,5
lay the cushion evenly,set up the platfond,4
apply polishing paste on the surface,clean the surface,1
load the wheel,load the wheel,1
connect air conditioners and windows,install window panel,3
boil water or coffee,grind the coffee beans,2
install the closestool again,remove the old wax ring and clean,1
wipe the glue to a layer,wipe the glue to a layer,2
pour some glue to the face,pour some glue to the face,3
apply some glue on the borads,cut the raw boards,1
apply some glue on the borads,knock in the nails,5
cut into strips,cut into strips,1
remove the old wrapper,remove the old wrapper,1
put down the barbell,put down the barbell,4
add water into the volumetric flask to the tick line,weigh up the solute,3
crop the wallpaper,dip the glue,2
apply cleansing milk to the face,do facial care carefully,1
open the sluice and test the new faucet,remove the old faucet,1
remove the components of the fixed battery,restore the fixed battery components and the back cover,1
attach tape to the edge of the paddle,put rubber on paddle,1
attach tape to the edge of the paddle,cut the rubber,3
make the detergent,wash the floor,1
dip detergent with rag,make the detergent,4
install head of the bed,install head of the bed,1
fix the wind mill on the bracket,fold the edges of the paper,1
take out the slice of bread,take out the slice of bread,2
open the car key cover,open the car key cover,2
soak sugar gourd in sugar,string the fruit together,4
cut the flesh,cut the flesh,1
take out after freezing,take out after freezing,1
prepare flower,prepare flower,7
measure and mark,put paper together,2
pour in after mix it,stir the mixture,5
apply detergent to the external side,apply detergent to the external side,1
check the old chain,cut the old chain,1
loosen the outer cover of a switch or socket,paste and level the wallpaper,2
cut out a hole,loosen the outer cover of a switch or socket,2
paste and level the wallpaper,tighten the outer cover of the switch or socket,2
cut out a hole,tighten the outer cover of the switch or socket,2
insert the gun head,remove the protecting cover of the gun head,1
insert the pillow into the pillow cover,insert the quilt into the quilt cover,1
wipe off the cleaning agent,wipe off the cleaning agent,1
apply detergent to bathtub,dip detergent with rag,2
dip the glue,paste and level the wallpaper,3
spray the cleaning agent on the car window,spray the cleaning agent on the car window,1
apply cleansing milk to the face,wipe up the face,3
add some ingredients in the coffee,boil water or coffee,3
add some ingredients in the coffee,brew the coffee beans,1
draw an outline,place light into pumpkin,2
apply detergent,apply detergent,2
remove the tire,remove the tire,2
replace with the new drumhead,replace with the new drumhead,2
comb the hair with a comb,wrap the hair by hands,1
make the hair dry,wrap the hair by hands,4
insert or put on the shin guard,insert or put on the shin guard,4
pour some salt to the garlics,smash the garlics with the knife face,4
install stand of the seat,install stand of the seat,1
put in a new grease container,put in a new grease container,1
remove the old toilet seat,screw on the screws,4
measure and mark the wall,measure and mark the wall,3
clean up the ground,lay the cushion evenly,1
install the new screen,unscrew the screws used to fix the screen,1
cut the bread,put the filler on the bread slice,2
link the new chain,link the new chain,1
glue on the paddle,glue on the paddle,1
put the thread on the spool,put the thread on the spool,1
press the SIM card slot back,press the SIM card slot back,1
fold or fire the blank paper,fold or fire the blank paper,1
put on the tire,put on the tire,1
install legs on the bed,place the board on each side,1
install legs on the bed,place the bed board,1
ajust the chain length,check the old chain,1
measure and mark,measure and mark,1
cut paper,measure and mark,4
wash the floor,wet the mop,2
let the flat side of the new needle towards the jack and insert the new needle,let the flat side of the new needle towards the jack and insert the new needle,1
wrap in copper wire,wrap in foil paper,4
twine round the thread,twine round the thread,1
cut paper,put paper together,4
install peripherals outside the case,install the fan,1
hold the gun end and let the gun head aim at the tag brand,remove the protecting cover of the gun head,2
put the candle wick into a vessel,wait for the candle until concretion,2
clean inner wall of container,place a piece of paper on weighing pan,1
check the foreign matter in the mouse,check the pulse of the patient,1
add baking soda to the sink hole,turn on the water tap to wash,2
put on new tape,remove the tape of the fixed battery,2
put on new tape,restore the fixed battery components and the back cover,1
restore the fixed battery components and the back cover,restore the fixed battery components and the back cover,1
remove the light socket and disconnect the wire,remove the light socket and disconnect the wire,1
put the pin in,put the pin in,1
install sponge strip,install sponge strip,1
boil water or coffee,brew the coffee beans,2
circle the rope under the bolt,circle the rope under the bolt,3
fixe it with a crimping pliers,strip the insulation,1
grind the coffee beans,grind the coffee beans,1
pin the hair with some hairpins,wrap the hair by hands,6
take out dry flowers,take out dry flowers,2
remove the air nozzle,remove the air nozzle,2
install the new air nozzle,install the new air nozzle,1
insert or put on the shin guard,wrap on the tape,2
fill the injection head,inject to the muscular,4
use sandpaper/metal to polish rubber near leak,use sandpaper/metal to polish rubber near leak,1
put every parts mentioned together,put every parts mentioned together,2
add some water to the vessel,add some water to the vessel,1
decorate the wrapped gift,measure the size of the packing paper,1
open up the cover,open up the cover,1
place the bicycle on the bracket,place the bicycle on the bracket,1
fasten the strap,fasten the strap,1
insert the hard disk tray into the position of the CD drive,install the SSD onto the hard disk tray,1
bake pizza,bake pizza,1
wrap the hair by hands,wrap the hair by hands,2
pour the egg into the pot,pour the egg onto the plate,2
add vinegar to the sink hole,add vinegar to the sink hole,1
wipe the dish,wipe the dish,2
prepare the ground floor,prepare the ground floor,1
shake and stir,shake and stir,1
add some ingredients in the coffee,grind the coffee beans,1
put and arrange nicely,roll the quilt cover and the quilt together,5
put and arrange nicely,put nicely and align the quilt and the cover,1
soak and wash the rice,soak and wash the rice,1
take out old grease container,unscrew gun head,3
screw off the valve cap and open the valve,screw off the valve cap and open the valve,1
screw off the screws used to fix the switch,switch off the power,2
trigger and take out the needle head,trigger and take out the needle head,1
apply detergent to the external side,apply detergent to the intertior of the toilet,1
clean the hamster box,set different kinds of hamster toys,1
put nicely and align the quilt and the cover,turn over the quilt cover,1
apply shaving cream to the face,apply shaving cream to the face,4
apply shaving cream to the face,do facial care carefully,2
raise the jack up,raise the jack up,3
set the underprop,set the underprop,1
connect the wire again,remove the light housing or shell and bulb,1
clean up and soak,prepare and boil water,1
pullthe  oil gun out,pullthe  oil gun out,1
clean the wall,wipe or polish the wall,2
close the fuel tank cap,insert oil gun in the car,4
remove the gill,remove the gill,2
dip detergent with rag or apply detergent,dip detergent with rag or apply detergent,2
clean up the interior of thepumpkin,place light into pumpkin,1
connect the water pipe,connect the water pipe,2
pull out a lock lever at bottom of gun,pull out a lock lever at bottom of gun,1
open the lid of new container,"try to press gun head, spray residual old grease",1
glue on the paddle,remove old rubber and glue,1
remove old lamp fixed support,remove old lamp fixed support,1
cut tiles,prepare adhesive,1
measure and mark,paint on the paper,2
loosen the outer cover of a switch or socket,measure and mark the wall,1
measure and mark the wall,stuff the wallpaper into the loose outer cover,1
cut out a hole,stuff the wallpaper into the loose outer cover,1
stuff the wallpaper into the loose outer cover,tighten the outer cover of the switch or socket,1
paste and level the wallpaper,stuff the wallpaper into the loose outer cover,1
close switch,install fan tray,2
dip the glue,measure and mark the wall,1
dip the glue,wipe or polish the wall,1
peel off the garlics,pour some salt to the garlics,2
draw lines to mark the hole,find the position of the hole,3
measure and mark the wall,wipe or polish the wall,1
apply detergent to bathtub,apply detergent to bathtub,1
clean bathtub with water,clean bathtub with water,1
wipe off the redundant lubricant,wipe off the redundant lubricant,1
close switch,remove old lamp fixed cover,1
close switch,remove old lamp fixed support,1
remove old lamp fixed cover,remove old lamp fixed support,1
pull out a lock lever at bottom of gun,take out old grease container,2
put in a new grease container,take out old grease container,1
use screwdriver or electirc screwdriver to release the wire in the wall from the switch,use screwdriver or electirc screwdriver to screw the wire in the wall into the screw of the new switch,3
install the new blade,install the new blade,1
open the front door or cover of the printer,open the front door or cover of the printer,1
close the front door or cover of the printer,take out the toner cartridge,2
screw gun head back,unscrew gun head,1
add some ingredients to the tea,prepare and boil water,1
add some ingredients to the tea,add some ingredients to the tea,1
carve along the outline,clean the pumpkin,1
install fan bracket,install fans and lights,1
make the detergent,make the detergent,1
clean bathtub with water,make the detergent,1
measure and label the lantern,measure and label the lantern,1
remove the tape of the fixed battery,remove the tape of the fixed battery,1
install legs on the bed,place mattress on the bed,1
fry or grill,fry or grill,1
glue on the back of the rubber,remove old rubber and glue,1
make the  detergent,wash the floor,2
wet the mop,wet the mop,2
reveal the glue from the face,reveal the glue from the face,1
add tea powder,add tea powder,1
close up the stapler,close up the stapler,1
add water to Neti Pot,wipe nose,1
add a small amount of salt to Neti Pot,wipe nose,1
adjust the balance to the horizontal position,correct the balance zero,1
paint on the paper,paint on the paper,1
cut paper,cut paper,1
filtrate with a filter,pour some soy beans,2
wipe the keyboard,wipe the keyboard,2
decorate the ice cream,package and freeze,2
pull out the insurance ring,pull out the insurance ring,1
pour into a glass,pour some soy beans,4
hang the ironed clothes,put the clothes neatly on a ironing table,1
crop the wallpaper,make the glue,1
connect air conditioners and windows,connect air conditioners and windows,1
open the fuel tank cap,pullthe  oil gun out,1
remove the old wrapper,wrap with the new wrapper,2
remove the old wrapper,use the air pressure gun or hair drier to flatten the wrapper,3
drive the car forward,drive the car forward,1
decorate with fruit,shake the mixture,1
install legs of sofa,install legs of sofa,5
install the sofa back,install the sofa back,5
dip the glue,make the glue,1
apply detergent,make the  detergent,1
tighten the blade screw,tighten the blade screw,1
fix window board,fix window board,1
pour some soy beans,pour some soy beans,1
pour into a glass,pour into a glass,1
